provider_id,provider_name,npi,dea,specialty_concept_id,care_site_id,year_of_birth,gender_concept_id,provider_source_value,specialty_source_value,specialty_source_concept_id,gender_source_value,gender_source_concept_id
711,"Jeanne-Rose A Campbell, MD",1088278054,NA,NA,NA,NA,NA,49431270699,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
1438,"Margaud C Hancock, MD",2044422513,NA,NA,NA,NA,NA,86260356534,OTORHINOLARYNGOLOGY,NA,female,NA
1527,Lila J Berry,2831862087,NA,NA,NA,NA,NA,90586533439,NA,NA,female,NA
1259,"Delphine R Jordan, MD",2469362830,NA,NA,NA,NA,NA,77197275672,EMERGENCY MEDICINE,NA,female,NA
183,"Maya S Grimes, NP",2027117205,NA,NA,NA,NA,NA,18904834932,ONCOLOGY,NA,female,NA
392,"Gérard W Shepard, MD",2567970054,NA,NA,NA,NA,NA,30736895711,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
1401,"Gail S Conner, NP",2832413831,NA,NA,NA,NA,NA,84586761321,OTORHINOLARYNGOLOGY,NA,female,NA
1324,Dana R Rodriguez,2598776280,NA,NA,NA,NA,NA,80421954964,NA,NA,female,NA
1419,"Micah S Powell, MD",1171069899,NA,NA,NA,NA,NA,85342228395,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
1143,"Claire N Combs, NP",1509831929,NA,NA,NA,NA,NA,70296977861,OTORHINOLARYNGOLOGY,NA,female,NA
1511,Ria D Pearson,1166606119,NA,NA,NA,NA,NA,89753423061,NA,NA,female,NA
636,"Richard N Buckley, MD",2456087325,NA,NA,NA,NA,NA,44495628718,OB/GYN,NA,male,NA
823,"Kaye C Lewis, MD",2981325059,NA,NA,NA,NA,NA,55280106173,CARDIOLOGY,NA,female,NA
1434,"Hayden Z Lara, MD",2014717207,NA,NA,NA,NA,NA,85910978221,SURGERY,NA,male,NA
443,"Luce S Carrillo, NP",1543948051,NA,NA,NA,NA,NA,33885293712,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
1443,"Terrance A Nolan, NP",1438684530,NA,NA,NA,NA,NA,86746217880,OTORHINOLARYNGOLOGY,NA,male,NA
602,Rigel B Cervantes,2484362260,NA,NA,NA,NA,NA,42534076158,NA,NA,male,NA
1272,"Benoît U Trevino, RPh",1091497055,NA,NA,NA,NA,NA,78053221258,NA,NA,male,NA
207,"Patience C Donovan, PA-C",2384212755,NA,NA,NA,NA,NA,20202679124,ONCOLOGY,NA,female,NA
11,"Pamela S Valencia, PA-C",2446357754,NA,NA,NA,NA,NA,10596749967,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
825,"Moana M Hogan, PA-C",1467455786,NA,NA,NA,NA,NA,55385014238,OTORHINOLARYNGOLOGY,NA,female,NA
736,Buffy T Vang,1763012323,NA,NA,NA,NA,NA,50619584010,NA,NA,female,NA
3,"Basil R Rodgers, PA-C",2464893656,NA,NA,NA,NA,NA,10140587622,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
1055,"Thibaut X Wolf, PA-C",1944118858,NA,NA,NA,NA,NA,65522280290,OTORHINOLARYNGOLOGY,NA,male,NA
301,"Desiree C Chen, PA-C",1059142891,NA,NA,NA,NA,NA,25930383464,EMERGENCY MEDICINE,NA,female,NA
1325,Devin A Bowen,1842457838,NA,NA,NA,NA,NA,80422655350,NA,NA,male,NA
440,"Kasper I Cantu, NP",2601961846,NA,NA,NA,NA,NA,33714602883,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
56,"Amery B Schneider, MD",2988414971,NA,NA,NA,NA,NA,12588536986,OTORHINOLARYNGOLOGY,NA,male,NA
1151,"Lillian A Hardy, MD",1797524897,NA,NA,NA,NA,NA,70756949349,ONCOLOGY,NA,female,NA
620,André A Walters,1384307573,NA,NA,NA,NA,NA,43734314293,NA,NA,male,NA
1543,"Albert G Osborn, NP",2527083865,NA,NA,NA,NA,NA,91201354931,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
900,"Yolanda M Wong, MD",1524140025,NA,NA,NA,NA,NA,58767493297,OTORHINOLARYNGOLOGY,NA,female,NA
1228,Camden A Baird,2256512027,NA,NA,NA,NA,NA,75410298044,NA,NA,male,NA
1648,"Astra M Colon, PA-C",2271358729,NA,NA,NA,NA,NA,95596555115,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
753,"Veda H Washington, RPh",1920940747,NA,NA,NA,NA,NA,51767509988,NA,NA,female,NA
855,"Paulette U Suarez, NP",1489291177,NA,NA,NA,NA,NA,56468196553,OTORHINOLARYNGOLOGY,NA,female,NA
905,"Raymond J Cox, MD",2640132490,NA,NA,NA,NA,NA,59060929846,NEPHROLOGY,NA,male,NA
1215,"Gillian A Rosales, NP",1296163270,NA,NA,NA,NA,NA,74312444181,ONCOLOGY,NA,female,NA
1046,Gregory Q Marshall,2907359133,NA,NA,NA,NA,NA,65018944254,NA,NA,male,NA
1263,"Leo G Reynolds, MD",2764425688,NA,NA,NA,NA,NA,77388493454,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
1256,"Benjamin C James, PA-C",1909760140,NA,NA,NA,NA,NA,77136764238,OTORHINOLARYNGOLOGY,NA,male,NA
1342,"Maile J Foley, MD",1353294992,NA,NA,NA,NA,NA,81548389886,SURGERY,NA,female,NA
920,Adena R Barton,1479256396,NA,NA,NA,NA,NA,59678910317,NA,NA,female,NA
1489,"Libby E Buckner, NP",1601478389,NA,NA,NA,NA,NA,89174784385,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
1673,"Xavier B Peters, MD",2125743373,NA,NA,NA,NA,NA,97137607530,OTORHINOLARYNGOLOGY,NA,male,NA
1328,"Malachi H Bridges, NP",2995589328,NA,NA,NA,NA,NA,80661423695,EMERGENCY MEDICINE,NA,male,NA
1727,Kelsie K Parsons,1768636456,NA,NA,NA,NA,NA,99892897659,NA,NA,female,NA
808,"Pierre-Luc M Dale, PA-C",1565955448,NA,NA,NA,NA,NA,54581715033,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
1094,"Irma L Holden, NP",2632051690,NA,NA,NA,NA,NA,67973691712,OTORHINOLARYNGOLOGY,NA,female,NA
62,"Orlando C Acosta, NP",2281254355,NA,NA,NA,NA,NA,12724879382,HEMATOLOGY,NA,male,NA
606,"Céline A Brady, MD",2769593969,NA,NA,NA,NA,NA,42668427773,ONCOLOGY,NA,female,NA
788,"Blake T Ayers, NP",1177077565,NA,NA,NA,NA,NA,53686831028,INTERNAL MEDICINE,NA,male,NA
1637,"Plato F Kline, MD",1074374123,NA,NA,NA,NA,NA,95269143389,NEUROLOGY,NA,male,NA
20,"Alphonse A Cash, NP",1216009496,NA,NA,NA,NA,NA,11140202831,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
1125,Liberty A Bishop,1245649312,NA,NA,NA,NA,NA,69244521434,NA,NA,female,NA
289,"Wylie T Haynes, PA-C",2030031435,NA,NA,NA,NA,NA,25251973044,OTORHINOLARYNGOLOGY,NA,male,NA
1231,"Maite M Moreno, RPh",1794780252,NA,NA,NA,NA,NA,75489238278,NA,NA,female,NA
1371,"Bruno J Young, NP",1285193981,NA,NA,NA,NA,NA,83214156291,GASTROENTEROLOGY,NA,male,NA
320,"Zenia M Ramsey, PA-C",1646178556,NA,NA,NA,NA,NA,26899198459,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
939,"Jean-Victor S Tyson, NP",1846787453,NA,NA,NA,NA,NA,60725359907,OTORHINOLARYNGOLOGY,NA,male,NA
637,Winifred R Mccarty,2492600529,NA,NA,NA,NA,NA,44561114655,NA,NA,female,NA
85,"Tamekah J Reyes, PA-C",2575322488,NA,NA,NA,NA,NA,14088602899,RHEUMATOLOGY,NA,female,NA
1053,"Séraphine S Mckenzie, PA-C",1502427881,NA,NA,NA,NA,NA,65447705071,ONCOLOGY,NA,female,NA
624,"Brent M Hahn, PA-C",2086303514,NA,NA,NA,NA,NA,43999675250,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
973,"Hope P Fleming, MD",1924389420,NA,NA,NA,NA,NA,62014298751,OTORHINOLARYNGOLOGY,NA,female,NA
1669,Lacota H Conner,1974575456,NA,NA,NA,NA,NA,96722494719,NA,NA,female,NA
1560,"Shea C Sampson, PA-C",1864034325,NA,NA,NA,NA,NA,92033286254,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
169,"Fridoline K Miller, PA-C",2661058129,NA,NA,NA,NA,NA,18244224080,OTORHINOLARYNGOLOGY,NA,female,NA
400,"Adrien J Ferguson, NP",1430234334,NA,NA,NA,NA,NA,31196336354,PULMONARY DISEASE,NA,male,NA
1096,Paul-Adrien K Downs,1484205370,NA,NA,NA,NA,NA,68114390103,NA,NA,male,NA
299,"Melanie M Benjamin, MD",2362182848,NA,NA,NA,NA,NA,25782358143,SURGERY,NA,female,NA
536,"Brittany N Mills, MD",1422238814,NA,NA,NA,NA,NA,38830250146,EMERGENCY MEDICINE,NA,female,NA
707,"Leah C Munoz, PA-C",2139125187,NA,NA,NA,NA,NA,49275477776,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
1258,"Lucas B Forbes, NP",1888263033,NA,NA,NA,NA,NA,77185162188,OTORHINOLARYNGOLOGY,NA,male,NA
362,"Lucas K Bridges, PA-C",2524963978,NA,NA,NA,NA,NA,28977009256,ONCOLOGY,NA,male,NA
499,Amir A Hickman,1807860836,NA,NA,NA,NA,NA,36901567187,NA,NA,male,NA
726,"Daniel E Conway, PA-C",2449593389,NA,NA,NA,NA,NA,50263618619,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
1047,"Jorden K Luna, MD",1524403654,NA,NA,NA,NA,NA,65043059703,OTORHINOLARYNGOLOGY,NA,female,NA
1701,"Bertilde P Cameron, RPh",1801218734,NA,NA,NA,NA,NA,98409363662,NA,NA,female,NA
511,"Sharon L Doyle, PA-C",2916074368,NA,NA,NA,NA,NA,37445329146,OB/GYN,NA,female,NA
793,Ralph K Salas,2114157197,NA,NA,NA,NA,NA,53949014217,NA,NA,male,NA
1426,"Paul Z Velez, MD",1055950156,NA,NA,NA,NA,NA,85690105774,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
457,"Cora H Wiley, MD",1937367199,NA,NA,NA,NA,NA,34797221681,OTORHINOLARYNGOLOGY,NA,female,NA
475,Giraud D Wolf,2863596736,NA,NA,NA,NA,NA,35510647899,NA,NA,male,NA
1152,"Oscar T English, NP",1600530354,NA,NA,NA,NA,NA,70851677365,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
950,"Francis J Davenport, PA-C",1370284752,NA,NA,NA,NA,NA,61014009164,OTORHINOLARYNGOLOGY,NA,male,NA
530,"Brian A Ryan, NP",2656738180,NA,NA,NA,NA,NA,38643208176,ONCOLOGY,NA,male,NA
1404,Francesca H Levine,2733657528,NA,NA,NA,NA,NA,84649757122,NA,NA,female,NA
1454,"Abbelline A Jarvis, MD",2966642460,NA,NA,NA,NA,NA,87409320357,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
132,"Walter M Castillo, MD",2694321577,NA,NA,NA,NA,NA,16578114768,OTORHINOLARYNGOLOGY,NA,male,NA
1693,Yen J Jenkins,2805002694,NA,NA,NA,NA,NA,97987527328,NA,NA,female,NA
1682,"Grant P Joseph, MD",1522171725,NA,NA,NA,NA,NA,97362842465,EMERGENCY MEDICINE,NA,male,NA
52,"Jeannise S Perez, NP",1400242507,NA,NA,NA,NA,NA,12399958338,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
1503,"Adena A Sherman, MD",1963309511,NA,NA,NA,NA,NA,89581478546,OTORHINOLARYNGOLOGY,NA,female,NA
1006,"Dorian B Jennings, NP",1505952257,NA,NA,NA,NA,NA,63410804615,CARDIOLOGY,NA,male,NA
300,"Chanda M Curry, RPh",1254944976,NA,NA,NA,NA,NA,25907361468,NA,NA,female,NA
1126,"Thomas G Martin, PA-C",1032638221,NA,NA,NA,NA,NA,69283649843,ONCOLOGY,NA,male,NA
692,"Ila S Stevenson, NP",1147485674,NA,NA,NA,NA,NA,48061730333,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
98,Kathleen K Houston,2417571524,NA,NA,NA,NA,NA,14850186056,NA,NA,female,NA
887,"Chadwick J Solis, NP",2625720665,NA,NA,NA,NA,NA,58262850354,OTORHINOLARYNGOLOGY,NA,male,NA
1466,"Leila F Harper, NP",1718186339,NA,NA,NA,NA,NA,88012004080,SURGERY,NA,female,NA
1048,Leroy A Hebert,2818222719,NA,NA,NA,NA,NA,65227181336,NA,NA,male,NA
505,"Indigo G Everett, PA-C",2614029169,NA,NA,NA,NA,NA,37027651475,OTORHINOLARYNGOLOGY,NA,female,NA
813,"Kirestin F Myers, PA-C",1856999329,NA,NA,NA,NA,NA,54746677101,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
281,"Marvin F Davis, MD",2751774262,NA,NA,NA,NA,NA,24438244004,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
348,Imani N Callahan,2232878518,NA,NA,NA,NA,NA,28298742340,NA,NA,female,NA
1156,"Marie H Aguilar, PA-C",1691911885,NA,NA,NA,NA,NA,70972223587,OTORHINOLARYNGOLOGY,NA,female,NA
1614,"Ryan B Porter, NP",2641658907,NA,NA,NA,NA,NA,94205244122,ONCOLOGY,NA,male,NA
761,"Timmy L Dodson, PA-C",1042412427,NA,NA,NA,NA,NA,52575296690,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
774,"Kellie J Fulton, MD",2531664692,NA,NA,NA,NA,NA,53046992610,OTORHINOLARYNGOLOGY,NA,female,NA
88,Ann J Patel,2699088312,NA,NA,NA,NA,NA,14335646721,NA,NA,female,NA
1333,"Pierre-Luc N Abbott, NP",2206688547,NA,NA,NA,NA,NA,80996961261,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
717,"Jolene S Duran, NP",1802034379,NA,NA,NA,NA,NA,49854461614,OTORHINOLARYNGOLOGY,NA,female,NA
407,"Cruz T Santos, NP",2163794478,NA,NA,NA,NA,NA,31656836592,EMERGENCY MEDICINE,NA,male,NA
1685,Josephine V Massey,2463912580,NA,NA,NA,NA,NA,97430951343,NA,NA,female,NA
71,"Ezekiel C Carney, RPh",2319143224,NA,NA,NA,NA,NA,13330335289,NA,NA,male,NA
654,"Tana B Brennan, NP",2656456742,NA,NA,NA,NA,NA,45440029796,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
32,"Philip A Munoz, NP",1122856469,NA,NA,NA,NA,NA,11565863012,OTORHINOLARYNGOLOGY,NA,male,NA
766,"Gil M Noel, PA-C",2265744231,NA,NA,NA,NA,NA,52817754255,ONCOLOGY,NA,male,NA
892,Noémi L Norris,1827806579,NA,NA,NA,NA,NA,58498045973,NA,NA,female,NA
1294,"Thane R Potts, PA-C",2936874839,NA,NA,NA,NA,NA,79321218336,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
1080,"Gloria A Valenzuela, PA-C",1977193372,NA,NA,NA,NA,NA,67269234980,OTORHINOLARYNGOLOGY,NA,female,NA
771,René M Campos,2694544384,NA,NA,NA,NA,NA,52987919066,NA,NA,male,NA
72,"Raymond J Dotson, PA-C",2625174103,NA,NA,NA,NA,NA,13363259118,SURGERY,NA,male,NA
30,"Graiden P Waller, PA-C",2220925263,NA,NA,NA,NA,NA,11538397292,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
1299,"Josephine S Tanner, MD",2180855484,NA,NA,NA,NA,NA,79519938511,OTORHINOLARYNGOLOGY,NA,female,NA
523,William B Griffith,2352551432,NA,NA,NA,NA,NA,38371920022,NA,NA,male,NA
1368,"Sloane C Bartlett, NP",1577546912,NA,NA,NA,NA,NA,83051793908,ONCOLOGY,NA,male,NA
589,"Cheyenne H Gardner, MD",1739022307,NA,NA,NA,NA,NA,41695517428,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
708,"Quincy B Heath, PA-C",1049062738,NA,NA,NA,NA,NA,49282204302,OTORHINOLARYNGOLOGY,NA,male,NA
1214,"Émile J Dale, PA-C",2371427028,NA,NA,NA,NA,NA,74268578076,NEPHROLOGY,NA,male,NA
452,Rhonda S Maldonado,2775771971,NA,NA,NA,NA,NA,34353557850,NA,NA,female,NA
63,"Nelle A Collins, NP",1427869704,NA,NA,NA,NA,NA,12791280641,PULMONARY DISEASE,NA,female,NA
647,"Oreste F Berger, NP",2034529277,NA,NA,NA,NA,NA,45078229546,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
1374,"Gillian L Stevenson, RPh",2248841609,NA,NA,NA,NA,NA,83267910695,NA,NA,male,NA
123,"Kenneth G Mays, PA-C",1956568909,NA,NA,NA,NA,NA,16236591368,EMERGENCY MEDICINE,NA,male,NA
1022,"Silas Y Lambert, PA-C",1953877576,NA,NA,NA,NA,NA,64089770137,OTORHINOLARYNGOLOGY,NA,male,NA
477,Lynn G Harmon,2193537863,NA,NA,NA,NA,NA,35657776453,NA,NA,female,NA
21,"Thessalie N Gordon, PA-C",2440858724,NA,NA,NA,NA,NA,11195420950,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
630,"Laurent C Coffey, NP",1808289746,NA,NA,NA,NA,NA,44218092817,OTORHINOLARYNGOLOGY,NA,male,NA
1118,"Rashad M Douglas, PA-C",1018908234,NA,NA,NA,NA,NA,68951053451,ONCOLOGY,NA,male,NA
840,Jonathan E Carson,1636993956,NA,NA,NA,NA,NA,55885827187,NA,NA,male,NA
684,"August K Gomez, PA-C",2506698568,NA,NA,NA,NA,NA,47532324063,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
1450,"Marybel A Mcguire, PA-C",2432263024,NA,NA,NA,NA,NA,87300131238,OTORHINOLARYNGOLOGY,NA,female,NA
1108,"Noble R Craft, NP",1324708096,NA,NA,NA,NA,NA,68625568223,OB/GYN,NA,male,NA
1530,"Alden D Hebert, MD",2976315222,NA,NA,NA,NA,NA,90725272115,HEMATOLOGY,NA,male,NA
613,Antoinette K Grimes,2707390551,NA,NA,NA,NA,NA,43251039306,NA,NA,female,NA
296,"Brandon A Pollard, NP",2148040070,NA,NA,NA,NA,NA,25540335312,FAMILY PRACTICE/PRIMARY CARE,NA,male,NA
929,"Lance W Saunders, PA-C",2993447545,NA,NA,NA,NA,NA,60198373670,OTORHINOLARYNGOLOGY,NA,male,NA
1666,"Elaine M Melton, NP",2465888556,NA,NA,NA,NA,NA,96627418019,SURGERY,NA,female,NA
529,"Nomlanga V Pena, MD",2820507503,NA,NA,NA,NA,NA,38558184196,ONCOLOGY,NA,female,NA
735,Jena R Rogers,2520565819,NA,NA,NA,NA,NA,50554276557,NA,NA,female,NA
1154,"Valérie O Maynard, PA-C",2353387356,NA,NA,NA,NA,NA,70919915675,FAMILY PRACTICE/PRIMARY CARE,NA,female,NA
